# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494891978712e-10       7.283171579706e-15       4.816691284680e-13       0.000000000000e+00       8.708863141807e-09       4.837384599287e-10      -2.506356430428e-12 
    3       1.408944837213e-10       1.232784499659e-14       6.054203785806e-13       0.000000000000e+00       5.380427021624e-09       3.452953604364e-10      -2.205016921687e-12 
    4       1.324243365918e-10       1.439449453034e-14       6.260856187931e-13       0.000000000000e+00       3.748495244809e-09       2.627067580727e-10      -1.758737849683e-12 
    5       1.257166023594e-10       1.331488443464e-14       5.861672356094e-13       0.000000000000e+00       2.799244447716e-09       2.083420138343e-10      -1.305412257728e-12 
    6       1.207772336329e-10       1.027635315298e-14       5.156709991120e-13       0.000000000000e+00       2.186294200228e-09       1.700597762527e-10      -8.920091220337e-13 
    7       1.173010231255e-10       6.812724094229e-15       4.349955236933e-13       0.000000000000e+00       1.762527164312e-09       1.417928957029e-10      -5.425844828362e-13 
    8       1.149783971812e-10       4.026916127923e-15       3.563705172810e-13       0.000000000000e+00       1.455002916544e-09       1.201909584299e-10      -2.678531446919e-13 
    9       1.135619538778e-10       2.328938570295e-15       2.870225973289e-13       0.000000000000e+00       1.223892594062e-09       1.032510966283e-10      -6.943701594449e-14 
   10       1.128356653724e-10       1.568584363837e-15       2.309879408082e-13       0.000000000000e+00       1.045579753815e-09       8.972200886774e-11       5.794925671684e-14 
   11       1.126637731883e-10       1.345426450506e-15       1.899317580525e-13       0.000000000000e+00       8.820697193081e-10       7.901202005024e-11       1.238424481877e-13 
   12       1.129267244062e-10       1.289497008977e-15       1.635449666374e-13       0.000000000000e+00       7.705428312101e-10       6.981809758648e-11       1.427892277998e-13 
   13       1.135160918174e-10       1.202372388150e-15       1.500643237715e-13       0.000000000000e+00       6.790112853577e-10       6.232143043845e-11       1.285603067681e-13 
   14       1.143324221207e-10       1.055501709013e-15       1.468896543667e-13       0.000000000000e+00       6.028707129421e-10       5.582031030449e-11       9.380285264685e-14 
   15       1.153793271314e-10       9.088712110397e-16       1.510924517458e-13       0.000000000000e+00       5.387932969281e-10       5.039070467255e-11       5.073717104079e-14 
   16       1.166106372734e-10       8.245640739282e-16       1.596344324383e-13       0.000000000000e+00       4.843230103552e-10       4.578067405871e-11       8.428435240160e-15 
   17       1.179592068826e-10       8.210390434927e-16       1.699650738999e-13       0.000000000000e+00       4.376051337587e-10       4.179744109958e-11      -2.679877635646e-14 
   18       1.194160352580e-10       8.715406234645e-16       1.803156619670e-13       0.000000000000e+00       3.970634294406e-10       3.827181769318e-11      -5.138740075368e-14 
   19       1.209893260403e-10       9.432458599355e-16       1.897223597731e-13       0.000000000000e+00       3.620520489592e-10       3.516910928846e-11      -6.441723338561e-14 
   20       1.226311766289e-10       1.002150684622e-15       1.974105155148e-13       0.000000000000e+00       3.312205007039e-10       3.242358457404e-11      -6.666027745382e-14 
   21       1.243517985002e-10       1.050721919197e-15       2.034458503993e-13       0.000000000000e+00       3.040834592526e-10       2.998932801725e-11      -6.021426128433e-14 
   22       1.261463527619e-10       1.106614386966e-15       2.082778467164e-13       0.000000000000e+00       2.799905241303e-10       2.778803416140e-11      -4.839398029808e-14 
   23       1.280056656334e-10       1.189082405699e-15       2.123810543483e-13       0.000000000000e+00       2.586097633290e-10       2.579346438955e-11      -3.414107712530e-14 
   24       1.299008684910e-10       1.316735760012e-15       2.163057124673e-13       0.000000000000e+00       2.394463018232e-10       2.397695656786e-11      -2.056179242082e-14 
   25       1.318474020343e-10       1.490181325622e-15       2.205199138644e-13       0.000000000000e+00       2.222743285250e-10       2.234550530159e-11      -9.504355677844e-15 
