# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494918483356e-10       7.295347380642e-15       4.815690878196e-13       2.253749160044e-19       8.749540462812e-09       4.848965497109e-10      -2.511442539724e-12 
    3       1.409061780420e-10       1.235873845212e-14       6.063090635492e-13       4.509779875907e-19       5.411199767938e-09       3.456188732803e-10      -2.208217948297e-12 
    4       1.324424984716e-10       1.443211897343e-14       6.271246302904e-13       7.521290026110e-19       3.763354244329e-09       2.629659648794e-10      -1.761466509458e-12 
    5       1.257354355306e-10       1.334995270635e-14       5.872203907851e-13       1.129110240693e-18       2.806281972233e-09       2.085875913303e-10      -1.307564153832e-12 
    6       1.207941429283e-10       1.030434440604e-14       5.166705393713e-13       1.582256408363e-18       2.190081915211e-09       1.702883067173e-10      -8.935752522544e-13 
    7       1.173199051588e-10       6.832257366548e-15       4.358727976452e-13       2.111943611199e-18       1.766252949808e-09       1.420340867466e-10      -5.436594281998e-13 
    8       1.149970262660e-10       4.039603982704e-15       3.570976368009e-13       2.718577131206e-18       1.459586704369e-09       1.204494908145e-10      -2.685581435022e-13 
    9       1.135799883373e-10       2.337294187851e-15       2.875860212836e-13       3.402578491425e-18       1.228976618154e-09       1.035128021506e-10      -6.991286279608e-14 
   10       1.128531766000e-10       1.574752810035e-15       2.313971561507e-13       4.164372316374e-18       1.050493186678e-09       8.996842885262e-11       5.757742401667e-14 
   11       1.126784094962e-10       1.350822828151e-15       1.902299867413e-13       5.004373502912e-18       8.851544561549e-10       7.924587541892e-11       1.234882640543e-13 
   12       1.129426994264e-10       1.295044185478e-15       1.637731927904e-13       5.922975201217e-18       7.733287385182e-10       7.003244509351e-11       1.424124361084e-13 
   13       1.135307157044e-10       1.208839536753e-15       1.502583281579e-13       6.920538070445e-18       6.815430963796e-10       6.250989059441e-11       1.281329042348e-13 
   14       1.143440373670e-10       1.063588790231e-15       1.471107552423e-13       7.997381219602e-18       6.051834886522e-10       5.598757955498e-11       9.334467808866e-14 
   15       1.153877959691e-10       9.191131371538e-16       1.513651330439e-13       9.153775173609e-18       5.409158406533e-10       5.054216206817e-11       5.027208442135e-14 
   16       1.166194927600e-10       8.372970189589e-16       1.599335353685e-13       1.038993712011e-17       4.862789444906e-10       4.592583988474e-11       7.979553102648e-15 
   17       1.179641450415e-10       8.363072198166e-16       1.703154025712e-13       1.170602859794e-17       4.394140771130e-10       4.194071408611e-11      -2.721454552234e-14 
   18       1.194186048962e-10       8.890891571669e-16       1.807390424586e-13       1.310215449253e-17       3.987409599999e-10       3.840734894059e-11      -5.175368388503e-14 
   19       1.209908799050e-10       9.628173244214e-16       1.902168033548e-13       1.457837165548e-17       3.636138401770e-10       3.529307131175e-11      -6.471621707885e-14 
   20       1.226293334856e-10       1.023635451358e-15       1.979529899870e-13       1.613468080913e-17       3.326776633216e-10       3.253858002665e-11      -6.687682862105e-14 
   21       1.243451672917e-10       1.074222835480e-15       2.040262397916e-13       1.777105107722e-17       3.054461111020e-10       3.009906741808e-11      -6.035454660068e-14 
   22       1.261358821072e-10       1.132474563245e-15       2.089087035195e-13       1.948741032216e-17       2.812674789249e-10       2.789496807089e-11      -4.848791841524e-14 
   23       1.279913534840e-10       1.217697804204e-15       2.130674601000e-13       2.128367435466e-17       2.598090987244e-10       2.589731805614e-11      -3.420364379190e-14 
   24       1.298809482917e-10       1.348472059338e-15       2.170366707786e-13       2.315973722436e-17       2.405746371329e-10       2.407462737513e-11      -2.058325379101e-14 
   25       1.318210702754e-10       1.525306881616e-15       2.212867768003e-13       2.511550533565e-17       2.233377626245e-10       2.243560628856e-11      -9.487482696832e-15 
   26       1.338230291759e-10       1.741325397762e-15       2.262297371520e-13       2.715088555975e-17       2.077864337132e-10       2.098123823877e-11      -2.288121702146e-15 
   27       1.358679820176e-10       1.990129611201e-15       2.318928790027e-13       2.926581516808e-17       1.937339432285e-10       1.967868370292e-11       7.891848655922e-16 
   28       1.379206206800e-10       2.265301006483e-15       2.381136183879e-13       3.146025425064e-17       1.809378294420e-10       1.847770173995e-11       1.015789547888e-16 
   29       1.399907479522e-10       2.566393347123e-15       2.446044660326e-13       3.373422036104e-17       1.693326566197e-10       1.737410110738e-11      -3.549594290700e-15 
   30       1.420926006686e-10       2.894712124192e-15       2.509472651746e-13       3.608776907016e-17       1.587937296478e-10       1.636934751724e-11      -8.932087374136e-15 
   31       1.442300486734e-10       3.250923151658e-15       2.566402410009e-13       3.852099392260e-17       1.491059778679e-10       1.545549467070e-11      -1.460118955519e-14 
   32       1.464060652818e-10       3.632811479481e-15       2.612852417448e-13       4.103404992178e-17       1.402193299965e-10       1.462271276246e-11      -1.968988670592e-14 
   33       1.486140778325e-10       4.036578496139e-15       2.644589220752e-13       4.362714702415e-17       1.320709104494e-10       1.385264297972e-11      -2.338770804058e-14 
   34       1.508412857068e-10       4.458927240968e-15       2.657548707981e-13       4.630054407185e-17       1.245466482584e-10       1.312310434443e-11      -2.494815563279e-14 
   35       1.530940444563e-10       4.902559659975e-15       2.651172423271e-13       4.905453139417e-17       1.176080067209e-10       1.243498031879e-11      -2.445923810231e-14 
   36       1.553797006669e-10       5.372672041505e-15       2.626265152332e-13       5.188944982978e-17       1.111992934285e-10       1.179388683537e-11      -2.235289476166e-14 
   37       1.577002725441e-10       5.874629313627e-15       2.584048147698e-13       5.480567612775e-17       1.052370695125e-10       1.120254487690e-11      -1.916612906801e-14 
   38       1.600564174118e-10       6.410677231709e-15       2.525789871254e-13       5.780354206158e-17       9.970591280530e-11       1.065995397751e-11      -1.537789875355e-14 
   39       1.624435473255e-10       6.982189186857e-15       2.453109752016e-13       6.088339379488e-17       9.458825790529e-11       1.016140564185e-11      -1.153343481512e-14 
   40       1.648498863579e-10       7.590544372311e-15       2.368115515715e-13       6.404561656454e-17       8.983526693465e-11       9.698289063059e-12      -8.297482966247e-15 
   41       1.672619462489e-10       8.236901686389e-15       2.272790645898e-13       6.729059732620e-17       8.538384032671e-11       9.260819757666e-12      -6.288777359353e-15 
   42       1.696847502116e-10       8.921437211816e-15       2.166845207611e-13       7.061859240697e-17       8.122086637705e-11       8.848073835541e-12      -5.500822780690e-15 
   43       1.721270352433e-10       9.643855505661e-15       2.049215624957e-13       7.402982073130e-17       7.733529594638e-11       8.460674049185e-12      -5.705043460624e-15 
   44       1.745953979250e-10       1.040357559447e-14       1.918632620229e-13       7.752449944195e-17       7.369886341077e-11       8.097906082306e-12      -6.603063552444e-15 
   45       1.770940815920e-10       1.119996182276e-14       1.773721710365e-13       8.110280757723e-17       7.027618128293e-11       7.758167031448e-12      -7.866688659091e-15 
   46       1.796248852690e-10       1.203313926222e-14       1.613374489514e-13       8.476476508838e-17       6.706185250574e-11       7.440740756765e-12      -9.282694871938e-15 
   47       1.821867775849e-10       1.290339279598e-14       1.436463827316e-13       8.851031697845e-17       6.405212196230e-11       7.144358377972e-12      -1.064368098690e-14 
   48       1.847755880016e-10       1.381093736773e-14       1.241731001911e-13       9.233936368673e-17       6.123368276736e-11       6.866601261442e-12      -1.170546790208e-14 
   49       1.873837452899e-10       1.475591505386e-14       1.027777904183e-13       9.625175862308e-17       5.858296603598e-11       6.603818863028e-12      -1.218516573753e-14 
   50       1.900034119626e-10       1.573842957079e-14       7.934422210704e-14       1.002473019014e-16       5.607323683757e-11       6.352185188516e-12      -1.185037967920e-14 
   51       1.926374973294e-10       1.675866763192e-14       5.390611303448e-14       1.043257252554e-16       5.369980049960e-11       6.111396847030e-12      -1.081985766305e-14 
   52       1.952911817511e-10       1.781680547068e-14       2.655371460437e-14       1.084866987663e-16       5.146041059186e-11       5.881836778690e-12      -9.341109004225e-15 
   53       1.979686826525e-10       1.891297314584e-14      -2.600489662340e-15       1.127298317239e-16       4.934772598717e-11       5.663495472096e-12      -7.708698327598e-15 
   54       2.006731528082e-10       2.004725337530e-14      -3.342076144920e-14       1.170546699825e-16       4.734896798002e-11       5.455942389150e-12      -6.266601568637e-15 
   55       2.034067728214e-10       2.121968060564e-14      -6.578039440641e-14       1.214607463493e-16       4.544981756362e-11       5.258541947951e-12      -5.327603393281e-15 
   56       2.061712884807e-10       2.243024062165e-14      -9.967030981293e-14       1.259477524674e-16       4.364802652410e-11       5.071229765996e-12      -4.902644050414e-15 
