# Matter power spectrum P(k) at redshift z=0
# for k=1.04513e-05 to 1.5402 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045132994176e-05       5.104875193399e+01 
       2.337475408498e-05       1.109993976063e+02 
       3.634383669308e-05       1.699366015741e+02 
       4.939370296927e-05       2.284820287862e+02 
       6.256006210544e-05       2.869918651340e+02 
       7.587952778608e-05       3.457346447286e+02 
       8.938994899452e-05       4.049410759852e+02 
       1.031307555486e-04       4.648244859674e+02 
       1.171433228261e-04       5.255913287230e+02 
       1.314713601750e-04       5.874475598203e+02 
       1.461613275071e-04       6.506031144217e+02 
       1.612628845118e-04       7.152753884189e+02 
       1.768293767368e-04       7.816922494834e+02 
       1.929183623984e-04       8.500946467034e+02 
       2.095921830929e-04       9.207395911491e+02 
       2.269185804575e-04       9.939024170996e+02 
       2.449713590917e-04       1.069879577788e+03 
       2.638310934687e-04       1.148991271169e+03 
       2.835858728612e-04       1.231584173775e+03 
       3.043320731323e-04       1.318033938944e+03 
       3.261751372076e-04       1.408747779014e+03 
       3.492303367250e-04       1.504166453009e+03 
       3.736234753862e-04       1.604766619619e+03 
       3.994914796333e-04       1.711061337283e+03 
       4.269828045177e-04       1.823600446201e+03 
       4.562575625915e-04       1.942969570392e+03 
       4.874872628223e-04       2.069786793298e+03 
       5.208540276369e-04       2.204697385176e+03 
       5.565491436249e-04       2.348365738066e+03 
       5.947708013702e-04       2.501463643582e+03 
       6.357209000532e-04       2.664655199866e+03 
       6.796008410410e-04       2.838577660341e+03 
       7.266063180195e-04       3.023818836480e+03 
       7.769212305029e-04       3.220891660318e+03 
       8.307109948660e-04       3.430207207271e+03 
       8.881156823844e-04       3.652048472102e+03 
       9.492435452822e-04       3.886546482902e+03 
       1.014165561247e-03       4.133662819285e+03 
       1.082911600773e-03       4.393178809555e+03 
       1.155468684968e-03       4.664694804153e+03 
       1.231781567928e-03       4.947639646144e+03 
       1.311755590948e-03       5.241289459397e+03 
       1.395261477273e-03       5.544785892106e+03 
       1.482141525460e-03       5.857178185032e+03 
       1.572216555196e-03       6.177468621888e+03 
       1.665292968523e-03       6.504616479545e+03 
       1.761169390081e-03       6.837577215733e+03 
       1.859642503872e-03       7.175328158467e+03 
       1.960511870711e-03       7.516886656673e+03 
       2.063583658992e-03       7.861323400044e+03 
       2.168673333979e-03       8.207773321664e+03 
       2.275607423061e-03       8.555439389636e+03 
       2.384224510458e-03       8.903594878632e+03 
       2.494375623252e-03       9.251584119829e+03 
       2.605924160971e-03       9.598817692052e+03 
       2.718745501206e-03       9.944771020103e+03 
       2.832726390233e-03       1.028897944726e+04 
       2.947764204091e-03       1.063103267024e+04 
       3.063766144467e-03       1.097057092547e+04 
       3.180648415879e-03       1.130728034792e+04 
       3.298335416334e-03       1.164088777009e+04 
       3.416758962556e-03       1.197115615312e+04 
       3.535857562609e-03       1.229788125472e+04 
       3.655575742743e-03       1.262088722690e+04 
       3.775863431054e-03       1.294002430945e+04 
       3.896675397734e-03       1.325516501319e+04 
       4.017970749808e-03       1.356620165628e+04 
       4.139712477162e-03       1.387304417113e+04 
       4.261867046045e-03       1.417561838438e+04 
       4.384404036010e-03       1.447386361397e+04 
       4.507295816197e-03       1.476773144849e+04 
       4.630517257057e-03       1.505718568115e+04 
       4.754045473803e-03       1.534219743573e+04 
       4.877859598156e-03       1.562275098435e+04 
       5.001940575283e-03       1.589883381734e+04 
       5.126270983075e-03       1.617044145955e+04 
       5.250834871244e-03       1.643757730364e+04 
       5.375617617960e-03       1.670024429464e+04 
       5.500605802028e-03       1.695845852234e+04 
       5.625787088800e-03       1.721223606273e+04 
       5.751150128263e-03       1.746159661602e+04 
       5.876684463889e-03       1.770656307615e+04 
       6.002380451035e-03       1.794716008783e+04 
       6.128229183792e-03       1.818341569874e+04 
       6.254222429347e-03       1.841535976504e+04 
       6.380352568993e-03       1.864302022404e+04 
       6.506612545071e-03       1.886643309145e+04 
       6.632995813172e-03       1.908562938285e+04 
       6.759496299032e-03       1.930064741833e+04 
       6.886108359605e-03       1.951151881971e+04 
       7.012826747877e-03       1.971828225236e+04 
       7.139646581004e-03       1.992097628662e+04 
       7.266563311443e-03       2.011963680482e+04 
       7.393572700758e-03       2.031430205147e+04 
       7.520670795815e-03       2.050501338171e+04 
       7.647853907139e-03       2.069181150731e+04 
       7.775118589200e-03       2.087473120812e+04 
       7.902461622449e-03       2.105381743599e+04 
       8.029879996918e-03       2.122910595907e+04 
       8.157370897236e-03       2.140063989743e+04 
       8.284931688938e-03       2.156845749883e+04 
       8.412559905909e-03       2.173260082691e+04 
       8.540253238901e-03       2.189310835103e+04 
       8.668009524984e-03       2.205001210312e+04 
       8.795826737864e-03       2.220336440964e+04 
       8.923702978987e-03       2.235319483035e+04 
       9.051636469353e-03       2.249954646307e+04 
       9.179625541983e-03       2.264245186965e+04 
       9.307668634971e-03       2.278194902519e+04 
       9.435764285086e-03       2.291808428417e+04 
       9.563911121856e-03       2.305089046352e+04 
       9.692107862117e-03       2.318039754146e+04 
       9.820353304958e-03       2.330665597697e+04 
       9.948646327062e-03       2.342969180243e+04 
       1.007698587838e-02       2.354955913855e+04 
       1.020537097815e-02       2.366627631694e+04 
       1.033380071114e-02       2.377987539533e+04 
       1.046227422428e-02       2.389041203638e+04 
       1.059079072343e-02       2.399791031651e+04 
       1.071934947041e-02       2.410241067977e+04 
       1.084794978029e-02       2.420393487523e+04 
       1.097659101881e-02       2.430253169164e+04 
       1.110527260001e-02       2.439822979499e+04 
       1.123399398405e-02       2.449106025157e+04 
       1.136275467512e-02       2.458106584609e+04 
       1.149155421955e-02       2.466826536467e+04 
       1.162039220408e-02       2.475270041290e+04 
       1.174926825412e-02       2.483440075619e+04 
       1.187818203230e-02       2.491339886392e+04 
       1.200713323701e-02       2.498971787362e+04 
       1.213612160107e-02       2.506340596728e+04 
       1.226514689049e-02       2.513449372777e+04 
       1.239420890335e-02       2.520299635677e+04 
       1.252330746872e-02       2.526894996480e+04 
       1.265244244565e-02       2.533239265870e+04 
       1.278161372229e-02       2.539335486241e+04 
