# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495419571882e-10       7.310687244176e-15       4.819605907218e-13       0.000000000000e+00       8.698388977383e-09       4.855472276428e-10      -2.515329489412e-12 
    3       1.409416846904e-10       1.238931006056e-14       6.072080591960e-13       0.000000000000e+00       5.418250108895e-09       3.465233198324e-10      -2.211500232657e-12 
    4       1.324695169689e-10       1.446858050468e-14       6.281684066522e-13       0.000000000000e+00       3.776127836857e-09       2.636876123770e-10      -1.764215216199e-12 
    5       1.257567036537e-10       1.338401063753e-14       5.883140222687e-13       0.000000000000e+00       2.820110081508e-09       2.091901600707e-10      -1.309722716951e-12 
    6       1.208099036259e-10       1.033009764323e-14       5.177161208355e-13       0.000000000000e+00       2.201827446263e-09       1.707905074742e-10      -8.951554887235e-13 
    7       1.173330925502e-10       6.848341887668e-15       4.367946224195e-13       0.000000000000e+00       1.774778400795e-09       1.424499902925e-10      -5.447714315278e-13 
    8       1.150068045854e-10       4.047472086852e-15       3.578566111144e-13       0.000000000000e+00       1.466285190406e-09       1.208133356606e-10      -2.693363884843e-13 
    9       1.135858469823e-10       2.339331034234e-15       2.881985788677e-13       0.000000000000e+00       1.235210899779e-09       1.038441578798e-10      -7.046700009658e-14 
   10       1.128556226220e-10       1.572967734605e-15       2.318834674115e-13       0.000000000000e+00       1.056518695249e-09       9.027222473392e-11       5.716982781305e-14 
   11       1.126753173058e-10       1.346521835077e-15       1.906014812680e-13       0.000000000000e+00       8.886877416724e-10       7.948606901611e-11       1.231653812077e-13 
   12       1.129370844490e-10       1.289048898512e-15       1.640783988693e-13       0.000000000000e+00       7.765263291415e-10       7.026697613565e-11       1.421187597603e-13 
   13       1.135204499000e-10       1.201768979877e-15       1.505543437088e-13       0.000000000000e+00       6.844552039751e-10       6.273177777472e-11       1.277913816549e-13 
   14       1.143270309952e-10       1.056006627255e-15       1.474146950163e-13       0.000000000000e+00       6.078498472046e-10       5.619556460915e-11       9.291616405092e-14 
   15       1.153638690420e-10       9.115303797259e-16       1.516678127714e-13       0.000000000000e+00       5.433688057554e-10       5.073296629242e-11       4.975194245289e-14 
   16       1.165903434904e-10       8.298564318276e-16       1.603473368323e-13       0.000000000000e+00       4.885449911350e-10       4.610217563156e-11       7.424219060691e-15 
   17       1.179252496584e-10       8.286805876376e-16       1.708488520316e-13       0.000000000000e+00       4.415150719123e-10       4.210452911518e-11      -2.771090057177e-14 
   18       1.193717497196e-10       8.809389915933e-16       1.813311132091e-13       0.000000000000e+00       4.006942219702e-10       3.855529482696e-11      -5.212374381860e-14 
   19       1.209376935693e-10       9.538808075920e-16       1.908421334992e-13       0.000000000000e+00       3.654372433134e-10       3.542505509777e-11      -6.495140933763e-14 
   20       1.225677691679e-10       1.013744162305e-15       1.986454558727e-13       0.000000000000e+00       3.343835304914e-10       3.266034138459e-11      -6.703223536737e-14 
   21       1.242738402781e-10       1.063325892383e-15       2.048087194560e-13       0.000000000000e+00       3.070456460271e-10       3.021560931803e-11      -6.047181143666e-14 
   22       1.260553145432e-10       1.120650229736e-15       2.097682990707e-13       0.000000000000e+00       2.827705344928e-10       2.800785608329e-11      -4.856797154836e-14 
   23       1.279012429615e-10       1.205052272525e-15       2.139796474203e-13       0.000000000000e+00       2.612247017120e-10       2.600598699453e-11      -3.424078944671e-14 
   24       1.297794698599e-10       1.335137369022e-15       2.179783242304e-13       0.000000000000e+00       2.419101370629e-10       2.417708238635e-11      -2.057929777253e-14 
   25       1.317070601030e-10       1.511603255353e-15       2.222610967429e-13       0.000000000000e+00       2.245999700670e-10       2.253143315783e-11      -9.465062837937e-15 
   26       1.336965826967e-10       1.727746254368e-15       2.272712307020e-13       0.000000000000e+00       2.089812802444e-10       2.107226269626e-11      -2.288630690093e-15 
   27       1.357290554176e-10       1.976902343531e-15       2.330294591732e-13       0.000000000000e+00       1.948668035578e-10       1.976596329027e-11       7.496933611044e-16 
   28       1.377686214300e-10       2.252272563003e-15       2.393520853944e-13       0.000000000000e+00       1.820132266650e-10       1.856064924423e-11       4.363620995842e-17 
   29       1.398250436895e-10       2.553409274564e-15       2.459317095467e-13       0.000000000000e+00       1.703549940350e-10       1.745201337803e-11      -3.606912860458e-15 
   30       1.419126925750e-10       2.881759547398e-15       2.523269318585e-13       0.000000000000e+00       1.597670335050e-10       1.644192408499e-11      -8.985777087529e-15 
   31       1.440355543169e-10       3.238136367520e-15       2.580184364128e-13       0.000000000000e+00       1.500335023577e-10       1.552292459984e-11      -1.466388875881e-14 
   32       1.461965186512e-10       3.620334896766e-15       2.626350644551e-13       0.000000000000e+00       1.411042087533e-10       1.468571070177e-11      -1.977030935605e-14 
   33       1.483888398622e-10       4.024518977459e-15       2.658017786603e-13       0.000000000000e+00       1.329160709322e-10       1.391252684412e-11      -2.348288652135e-14 
   34       1.505995909435e-10       4.447361774768e-15       2.671567415405e-13       0.000000000000e+00       1.253545781938e-10       1.318163592244e-11      -2.504426773083e-14 
   35       1.528353686559e-10       4.891610242011e-15       2.666296904305e-13       0.000000000000e+00       1.183810899209e-10       1.249331850311e-11      -2.454585927458e-14 
   36       1.551039254204e-10       5.362537814599e-15       2.642631281298e-13       0.000000000000e+00       1.119397266693e-10       1.185209487207e-11      -2.242862704963e-14 
   37       1.574076369998e-10       5.865584100732e-15       2.601395199046e-13       0.000000000000e+00       1.059467295728e-10       1.125961264989e-11      -1.923844509338e-14 
   38       1.597470100481e-10       6.403005474063e-15       2.543718455387e-13       0.000000000000e+00       1.003866510180e-10       1.071485371159e-11      -1.545472502268e-14 
   39       1.621171026541e-10       6.976163200622e-15       2.471151719540e-13       0.000000000000e+00       9.524187878033e-11       1.021345046060e-11      -1.162030688896e-14 
   40       1.645056974121e-10       7.586417474508e-15       2.385730277085e-13       0.000000000000e+00       9.046337469620e-11       9.747222348232e-12      -8.396851878527e-15 
   41       1.668989173291e-10       8.234900167431e-15       2.289415982818e-13       0.000000000000e+00       8.598776688241e-11       9.306812547523e-12      -6.400140496231e-15 
   42       1.693019390186e-10       8.921749571083e-15       2.182132852358e-13       0.000000000000e+00       8.180190858587e-11       8.891396326251e-12      -5.623763947450e-15 
   43       1.717238553411e-10       9.646622710481e-15       2.063142249201e-13       0.000000000000e+00       7.789472108519e-11       8.501596711635e-12      -5.840231671637e-15 
   44       1.741716932499e-10       1.040888140223e-14       1.931565234636e-13       0.000000000000e+00       7.423782102094e-11       8.136688532364e-12      -6.752474751216e-15 
   45       1.766500879913e-10       1.120784229875e-14       1.786369410829e-13       0.000000000000e+00       7.079566527956e-11       7.795046676213e-12      -8.032966624652e-15 
   46       1.791608026634e-10       1.204365797509e-14       1.626349913630e-13       0.000000000000e+00       6.756284903913e-11       7.475922833318e-12      -9.465592855103e-15 
   47       1.817026224531e-10       1.291666907054e-14       1.450124579956e-13       0.000000000000e+00       6.453561475565e-11       7.178003467987e-12      -1.083857148509e-14 
   48       1.842711506851e-10       1.382715710867e-14       1.256125400549e-13       0.000000000000e+00       6.170060195930e-11       6.898811308079e-12      -1.190261356265e-14 
   49       1.868585448653e-10       1.477534217632e-14       1.042587702701e-13       0.000000000000e+00       5.903413310109e-11       6.634622317325e-12      -1.236895266111e-14 
   50       1.894567321317e-10       1.576139175096e-14       8.080206340641e-14       0.000000000000e+00       5.650934646313e-11       6.381547524416e-12      -1.200078984408e-14 
   51       1.920686969271e-10       1.678545539206e-14       5.527942649984e-14       0.000000000000e+00       5.412153425647e-11       6.139317319754e-12      -1.092146246305e-14 
   52       1.946998009735e-10       1.784763545431e-14       2.779645888860e-14       0.000000000000e+00       5.186844780574e-11       5.908380844853e-12      -9.386518200537e-15 
   53       1.973544738118e-10       1.894797500859e-14      -1.515857516618e-15       0.000000000000e+00       4.974271490719e-11       5.688803372398e-12      -7.699978600269e-15 
   54       2.000361125825e-10       2.008645604555e-14      -3.249997501431e-14       0.000000000000e+00       4.773149494901e-11       5.480238095358e-12      -6.216764607924e-15 
   55       2.027471167696e-10       2.126302881525e-14      -6.500953537809e-14       0.000000000000e+00       4.582039779623e-11       5.282117220566e-12      -5.259349678934e-15 
   56       2.054892321331e-10       2.247771249637e-14      -9.903632965024e-14       0.000000000000e+00       4.400717057271e-11       5.094345468871e-12      -4.837916039846e-15 
   57       2.082631166745e-10       2.373051638889e-14      -1.346128053867e-13       0.000000000000e+00       4.229080688571e-11       4.916729441732e-12      -4.864927759705e-15 
   58       2.110681202658e-10       2.502141039868e-14      -1.717762180737e-13       0.000000000000e+00       4.066740608815e-11       4.748754172398e-12      -5.233916034702e-15 
