# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495424444867e-10       7.310926125233e-15       4.819605855326e-13       2.388810241038e-19       8.698388977383e-09       4.855472276428e-10      -2.515329489412e-12 
    3       1.409426571025e-10       1.238978805542e-14       6.072080361146e-13       4.779945363729e-19       5.418250108895e-09       3.465233198324e-10      -2.211500232657e-12 
    4       1.324711328551e-10       1.446937767227e-14       6.281683404994e-13       7.971660087256e-19       3.776127836857e-09       2.636876123770e-10      -1.764215216199e-12 
    5       1.257591186117e-10       1.338520732586e-14       5.883138720424e-13       1.196682940916e-18       2.820110081508e-09       2.091901600707e-10      -1.309722716951e-12 
    6       1.208132699251e-10       1.033177454396e-14       5.177158265532e-13       1.676886106464e-18       2.201827446263e-09       1.707905074742e-10      -8.951554887235e-13 
    7       1.173375586432e-10       6.850580079755e-15       4.367941024367e-13       2.238158249475e-18       1.774778400795e-09       1.424499902925e-10      -5.447714315278e-13 
    8       1.150125147070e-10       4.050353067871e-15       3.578557599702e-13       2.880911560032e-18       1.466285190406e-09       1.208133356606e-10      -2.693363884843e-13 
    9       1.135929408410e-10       2.342936738520e-15       2.881972656838e-13       3.605574423560e-18       1.235210899779e-09       1.038441578798e-10      -7.046700009658e-14 
   10       1.128642351887e-10       1.577380537629e-15       2.318815348500e-13       4.412577966808e-18       1.056518695249e-09       9.027222473392e-11       5.716982781305e-14 
   11       1.126855786999e-10       1.351824544024e-15       1.905987450291e-13       5.302342929074e-18       8.886877416724e-10       7.948606901611e-11       1.231653812077e-13 
   12       1.129491199191e-10       1.295324729461e-15       1.640746476901e-13       6.275267371821e-18       7.765263291415e-10       7.026697613565e-11       1.421187597603e-13 
   13       1.135343798937e-10       1.209101522393e-15       1.505493398035e-13       7.331715703470e-18       6.844552039751e-10       6.273177777472e-11       1.277913816549e-13 
   14       1.143429713089e-10       1.064479797626e-15       1.474081748863e-13       8.472009440455e-18       6.078498472046e-10       5.619556460915e-11       9.291616405092e-14 
   15       1.153819310418e-10       9.212283644308e-16       1.516594882989e-13       9.696420052776e-18       5.433688057554e-10       5.073296629242e-11       4.975194245289e-14 
   16       1.166106343894e-10       8.408636230975e-16       1.603368965653e-13       1.100516415538e-17       4.885449911350e-10       4.610217563156e-11       7.424219060691e-15 
   17       1.179478728380e-10       8.410815132190e-16       1.708359625675e-13       1.239840120907e-17       4.415150719123e-10       4.210452911518e-11      -2.771090057177e-14 
   18       1.193968050854e-10       8.948182399876e-16       1.813154206323e-13       1.387623256186e-17       4.006942219702e-10       3.855529482696e-11      -5.212374381860e-14 
   19       1.209652778882e-10       9.693229568550e-16       1.908232645068e-13       1.543871038551e-17       3.654372433134e-10       3.542505509777e-11      -6.495140933763e-14 
   20       1.225979764748e-10       1.030833699224e-15       1.986230192666e-13       1.708582940959e-17       3.343835304914e-10       3.266034138459e-11      -6.703223536737e-14 
   21       1.243067621696e-10       1.082147149447e-15       2.047823067708e-13       1.881755219963e-17       3.070456460271e-10       3.021560931803e-11      -6.047181143666e-14 
   22       1.260910405487e-10       1.141287311158e-15       2.097374856360e-13       2.063379927930e-17       2.827705344928e-10       2.800785608329e-11      -4.856797154836e-14 
   23       1.279398607617e-10       1.227589004285e-15       2.139439925277e-13       2.253447917166e-17       2.612247017120e-10       2.600598699453e-11      -3.424078944671e-14 
   24       1.298210655834e-10       1.359657237732e-15       2.179373717412e-13       2.451947847494e-17       2.419101370629e-10       2.417708238635e-11      -2.057929777253e-14 
   25       1.317517184222e-10       1.538189378144e-15       2.222143748535e-13       2.658869688020e-17       2.245999700670e-10       2.253143315783e-11      -9.465062837937e-15 
   26       1.337443870213e-10       1.756481334797e-15       2.272182521622e-13       2.874203502849e-17       2.089812802444e-10       2.107226269626e-11      -2.288630690093e-15 
   27       1.357800878984e-10       2.007868656300e-15       2.329697209575e-13       3.097942519231e-17       1.948668035578e-10       1.976596329027e-11       7.496933611044e-16 
   28       1.378229630259e-10       2.285551929550e-15       2.392850687981e-13       3.330082352292e-17       1.820132266650e-10       1.856064924423e-11       4.363620995842e-17 
   29       1.398827739558e-10       2.589083078403e-15       2.458568803075e-13       3.570624537327e-17       1.703549940350e-10       1.745201337803e-11      -3.606912860458e-15 
   30       1.419738896473e-10       2.919908722469e-15       2.522437403601e-13       3.819574556420e-17       1.597670335050e-10       1.644192408499e-11      -8.985777087529e-15 
   31       1.441002948830e-10       3.278841386497e-15       2.579263183572e-13       4.076941828793e-17       1.500335023577e-10       1.552292459984e-11      -1.466388875881e-14 
   32       1.462648776091e-10       3.663675796688e-15       2.625334430745e-13       4.342742065759e-17       1.411042087533e-10       1.468571070177e-11      -1.977030935605e-14 
   33       1.484608901464e-10       4.070575366684e-15       2.656900660087e-13       4.616996641679e-17       1.329160709322e-10       1.391252684412e-11      -2.348288652135e-14 
   34       1.506754033822e-10       4.496212832783e-15       2.670343403677e-13       4.899731967943e-17       1.253545781938e-10       1.318163592244e-11      -2.504426773083e-14 
   35       1.529150117099e-10       4.943334717327e-15       2.664959993328e-13       5.190977639240e-17       1.183810899209e-10       1.249331850311e-11      -2.454585927458e-14 
   36       1.551874649641e-10       5.417214028860e-15       2.641175447489e-13       5.490768430985e-17       1.119397266693e-10       1.185209487207e-11      -2.242862704963e-14 
   37       1.574951361577e-10       5.923289935570e-15       2.599814450106e-13       5.799142793941e-17       1.059467295728e-10       1.125961264989e-11      -1.923844509338e-14 
   38       1.598385291923e-10       6.463818287114e-15       2.542006926749e-13       6.116134466869e-17       1.003866510180e-10       1.071485371159e-11      -1.545472502268e-14 
   39       1.622126992620e-10       7.040159791932e-15       2.469303737247e-13       6.441778624539e-17       9.524187878033e-11       1.021345046060e-11      -1.162030688896e-14 
   40       1.646054258605e-10       7.653674073355e-15       2.383740409151e-13       6.776114431335e-17       9.046337469620e-11       9.747222348232e-12      -8.396851878527e-15 
   41       1.670028288067e-10       8.305492377929e-15       2.287279109621e-13       7.119181185881e-17       8.598776688241e-11       9.306812547523e-12      -6.400140496231e-15 
   42       1.694100818830e-10       8.995752175344e-15       2.179844295151e-13       7.471004669796e-17       8.180190858587e-11       8.891396326251e-12      -5.623763947450e-15 
   43       1.718362751471e-10       9.724109569715e-15       2.060697863897e-13       7.831606758087e-17       7.789472108519e-11       8.501596711635e-12      -5.840231671637e-15 
   44       1.742884326471e-10       1.048992539441e-14       1.928961494573e-13       8.201009089190e-17       7.423782102094e-11       8.136688532364e-12      -6.752474751216e-15 
   45       1.767711867776e-10       1.129251520546e-14       1.783603492364e-13       8.579229343872e-17       7.079566527956e-11       7.795046676213e-12      -8.032966624652e-15 
   46       1.792862983792e-10       1.213203020211e-14       1.623419782265e-13       8.966268859447e-17       6.756284903913e-11       7.475922833318e-12      -9.465592855103e-15 
   47       1.818325505838e-10       1.300880948187e-14       1.447029082560e-13       9.362121237566e-17       6.453561475565e-11       7.178003467987e-12      -1.083857148509e-14 
   48       1.844055447148e-10       1.392313290070e-14       1.252864362217e-13       9.766775450386e-17       6.170060195930e-11       6.898811308079e-12      -1.190261356265e-14 
   49       1.869974363332e-10       1.487521874735e-14       1.039162027355e-13       1.018021558465e-16       5.903413310109e-11       6.634622317325e-12      -1.236895266111e-14 
   50       1.896001507524e-10       1.586523254999e-14       8.044323783996e-14       1.060242024331e-16       5.650934646313e-11       6.381547524416e-12      -1.200078984408e-14 
   51       1.922166709232e-10       1.689332170967e-14       5.490466152200e-14       1.103336115283e-16       5.412153425647e-11       6.139317319754e-12      -1.092146246305e-14 
   52       1.948523572562e-10       1.795958624768e-14       2.740619147398e-14       1.147300373542e-16       5.186844780574e-11       5.908380844853e-12      -9.386518200537e-15 
   53       1.975116381088e-10       1.906406673592e-14      -1.921063599708e-15       1.192130715292e-16       4.974271490719e-11       5.688803372398e-12      -7.699978600269e-15 
   54       2.001979095700e-10       2.020674249513e-14      -3.291942053281e-14       1.237822403467e-16       4.773149494901e-11       5.480238095358e-12      -6.216764607924e-15 
   55       2.029135700499e-10       2.138756100348e-14      -6.544238255267e-14       1.284370571656e-16       4.582039779623e-11       5.282117220566e-12      -5.259349678934e-15 
   56       2.056603636901e-10       2.260653880539e-14      -9.948161799890e-14       1.331772010509e-16       4.400717057271e-11       5.094345468871e-12      -4.837916039846e-15 
   57       2.084389467302e-10       2.386368251470e-14      -1.350694529390e-13       1.380023777466e-16       4.229080688571e-11       4.916729441732e-12      -4.864927759705e-15 
   58       2.112486672828e-10       2.515895922751e-14      -1.722430171716e-13       1.429122678921e-16       4.066740608815e-11       4.748754172398e-12      -5.233916034702e-15 
   59       2.140874703712e-10       2.649229593644e-14      -2.110445780867e-13       1.479065264494e-16       3.912999451956e-11       4.589563459356e-12      -5.818562945825e-15 
   60       2.169518029669e-10       2.786357894477e-14      -2.515218745272e-13       1.529847821298e-16       3.766834674707e-11       4.437940199773e-12      -6.471785216518e-15 
   61       2.198381078986e-10       2.927259143602e-14      -2.937181807702e-13       1.581467157924e-16       3.627182557980e-11       4.292634331350e-12      -7.056304011211e-15 
   62       2.227479122587e-10       3.071881113244e-14      -3.376391370145e-13       1.633923175018e-16       3.493905143944e-11       4.153477166965e-12      -7.546445449312e-15 
   63       2.256837178299e-10       3.220156597259e-14      -3.832790321985e-13       1.687216864146e-16       3.367009605005e-11       4.020483424064e-12      -7.947668411847e-15 
   64       2.286474693316e-10       3.372008945071e-14      -4.306304247428e-13       1.741349587940e-16       3.246357385217e-11       3.893517221569e-12      -8.267175993510e-15 
   65       2.316405098718e-10       3.527351806863e-14      -4.796841505549e-13       1.796323099414e-16       3.131655902719e-11       3.772283442684e-12      -8.513998288584e-15 
   66       2.346635363979e-10       3.686088878771e-14      -5.304293310350e-13       1.852139561295e-16       3.022450252172e-11       3.656319097683e-12      -8.699075176858e-15 
   67       2.377165551482e-10       3.848113648079e-14      -5.828533810807e-13       1.908801565343e-16       2.918114907196e-11       3.544984686712e-12      -8.835339109548e-15 
   68       2.407993477611e-10       4.013320222272e-14      -6.369423363547e-13       1.966312031770e-16       2.818020801727e-11       3.437646681569e-12      -8.936029928919e-15 
   69       2.439130788576e-10       4.181638933806e-14      -6.926818941956e-13       2.024673840618e-16       2.722094434853e-11       3.334287214617e-12      -9.009057763220e-15 
   70       2.470589356645e-10       4.353007525204e-14      -7.500565989729e-13       2.083890160063e-16       2.630357669757e-11       3.235002980269e-12      -9.061641377951e-15 
   71       2.502376152536e-10       4.527360731674e-14      -8.090495573676e-13       2.143964575677e-16       2.542758634768e-11       3.139821364645e-12      -9.102011974371e-15 
   72       2.534492930531e-10       4.704630309785e-14      -8.696424545427e-13       2.204901106689e-16       2.459167911188e-11       3.048696696328e-12      -9.139450758887e-15 
   73       2.566935913588e-10       4.884745066124e-14      -9.318155703137e-13       2.266704222238e-16       2.379374721124e-11       2.961506497110e-12      -9.184326512444e-15 
   74       2.599695478463e-10       5.067630885972e-14      -9.955477953191e-13       2.329378857637e-16       2.303083115324e-11       2.878047732741e-12      -9.248133159922e-15 
   75       2.632755840818e-10       5.253210761967e-14      -1.060816647191e-12       2.392930430626e-16       2.229908161001e-11       2.798033063685e-12      -9.343527339519e-15 
   76       2.666101489622e-10       5.441389990280e-14      -1.127594090400e-12       2.457363865389e-16       2.159471503297e-11       2.721164908397e-12      -9.480620721464e-15 
   77       2.699738541001e-10       5.632008579162e-14      -1.195833080009e-12       2.522680423181e-16       2.091716594776e-11       2.647381513250e-12      -9.654993351510e-15 
   78       2.733676724370e-10       5.824880173629e-14      -1.265478582086e-12       2.588880320607e-16       2.026644290676e-11       2.576649151493e-12      -9.857552583459e-15 
   79       2.767922804981e-10       6.019805847020e-14      -1.336471483597e-12       2.655963666561e-16       1.964216829151e-11       2.508886172695e-12      -1.007804582136e-14 
   80       2.802480407429e-10       6.216573825514e-14      -1.408748522521e-12       2.723930458146e-16       1.904356056843e-11       2.443960849106e-12      -1.030502128949e-14 
   81       2.837349839175e-10       6.414959212646e-14      -1.482242217980e-12       2.792780576576e-16       1.846941654444e-11       2.381689222015e-12      -1.052578880237e-14 
   82       2.872527914051e-10       6.614723713821e-14      -1.556880800355e-12       2.862513783097e-16       1.791809362269e-11       2.321832948106e-12      -1.072638053472e-14 
   83       2.908007775785e-10       6.815615360830e-14      -1.632588141407e-12       2.933129714890e-16       1.738749205821e-11       2.264097145823e-12      -1.089151179148e-14 
   84       2.943782557659e-10       7.017393879600e-14      -1.709292627057e-12       3.004628035774e-16       1.687556531472e-11       2.208200916601e-12      -1.100770751169e-14 
   85       2.979857445169e-10       7.219912228847e-14      -1.786955618838e-12       3.077008925969e-16       1.638198721438e-11       2.154107058683e-12      -1.107336323699e-14 
   86       3.016239298823e-10       7.423048136563e-14      -1.865547604563e-12       3.150272666405e-16       1.590672991783e-11       2.101826663457e-12      -1.109028786716e-14 
   87       3.052932885425e-10       7.626679811839e-14      -1.945039754422e-12       3.224419489689e-16       1.544955165831e-11       2.051348908000e-12      -1.106069999082e-14 
   88       3.089940766067e-10       7.830686100353e-14      -2.025404001389e-12       3.299449578613e-16       1.500998787297e-11       2.002640122867e-12      -1.098724186101e-14 
   89       3.127263184111e-10       8.034946639866e-14      -2.106613121653e-12       3.375363064670e-16       1.458734233417e-11       1.955642859876e-12      -1.087299337079e-14 
   90       3.164897953184e-10       8.239342015719e-14      -2.188640815024e-12       3.452160026566e-16       1.418067828089e-11       1.910274959892e-12      -1.072148602888e-14 
   91       3.202840345160e-10       8.443753916323e-14      -2.271461785360e-12       3.529840488730e-16       1.378880954994e-11       1.866428620614e-12      -1.053671693523e-14 
   92       3.241082978151e-10       8.648065288655e-14      -2.355051820981e-12       3.608404419831e-16       1.341029170742e-11       1.823969464360e-12      -1.032316275661e-14 
   93       3.279618426580e-10       8.852148059298e-14      -2.439379914612e-12       3.687852906149e-16       1.304376478132e-11       1.782770235775e-12      -1.008545220372e-14 
   94       3.318447743750e-10       9.055823847302e-14      -2.524383092824e-12       3.768191876801e-16       1.268905968753e-11       1.742819717206e-12      -9.827296758536e-15 
   95       3.357573019933e-10       9.258897602537e-14      -2.609987932011e-12       3.849428938647e-16       1.234624258747e-11       1.704128546856e-12      -9.552424219486e-15 
   96       3.396994700852e-10       9.461169498668e-14      -2.696118153086e-12       3.931572265794e-16       1.201527412566e-11       1.666695597700e-12      -9.264915034139e-15 
   97       3.436711513031e-10       9.662434917970e-14      -2.782694592633e-12       4.014630614233e-16       1.169600538747e-11       1.630507520633e-12      -8.969211587139e-15 
   98       3.476720389148e-10       9.862484436131e-14      -2.869635174046e-12       4.098613336482e-16       1.138817385681e-11       1.595538287606e-12      -8.670127488106e-15 
   99       3.517016393391e-10       1.006110380707e-13      -2.956854878683e-12       4.183530396222e-16       1.109139937382e-11       1.561748734781e-12      -8.372856859549e-15 
  100       3.557592646810e-10       1.025807394772e-13      -3.044265717003e-12       4.269392382940e-16       1.080518009262e-11       1.529086105670e-12      -8.082983624771e-15 
  101       3.598440252671e-10       1.045317092288e-13      -3.131776699719e-12       4.356210526566e-16       1.052888843894e-11       1.497483594281e-12      -7.806490795784e-15 
  102       3.639548221809e-10       1.064616592998e-13      -3.219293808944e-12       4.443996712114e-16       1.026176706787e-11       1.466859888264e-12      -7.549769761211e-15 
  103       3.680903397980e-10       1.083682528391e-13      -3.306719969330e-12       4.532763494323e-16       1.000292482155e-11       1.437118712056e-12      -7.319629574202e-15 
  104       3.722493257772e-10       1.102492219647e-13      -3.393961457104e-12       4.622522791833e-16       9.751538756654e-12       1.408170726881e-12      -7.121737028309e-15 
  105       3.764314901853e-10       1.121027395957e-13      -3.480948175289e-12       4.713281737299e-16       9.507500014353e-12       1.380003583994e-12      -6.955676892090e-15 
  106       3.806367144801e-10       1.139270978001e-13      -3.567616076326e-12       4.805046291374e-16       9.270848068137e-12       1.352620526956e-12      -6.819238593089e-15 
  107       3.848647706472e-10       1.157205954640e-13      -3.653901010157e-12       4.897822513234e-16       9.041570688774e-12       1.326018671194e-12      -6.709917981582e-15 
  108       3.891153168938e-10       1.174815394361e-13      -3.739738766117e-12       4.991616560708e-16       8.819602166525e-12       1.300188792828e-12      -6.624909374398e-15 
  109       3.933878933435e-10       1.192082456713e-13      -3.825065114828e-12       5.086434690408e-16       8.604821533343e-12       1.275115117496e-12      -6.561097598740e-15 
  110       3.976819177300e-10       1.208990403758e-13      -3.909815850088e-12       5.182283257857e-16       8.397050785083e-12       1.250775109178e-12      -6.515050036003e-15 
  111       4.019966810919e-10       1.225522611505e-13      -3.993926830766e-12       5.279168717619e-16       8.196053103706e-12       1.227139259018e-12      -6.483008665599e-15 
  112       4.063313434659e-10       1.241662581355e-13      -4.077334022693e-12       5.377097623428e-16       8.001531079480e-12       1.204170874154e-12      -6.460882108774e-15 
  113       4.106849295822e-10       1.257393951543e-13      -4.159973540550e-12       5.476076628314e-16       7.813124933193e-12       1.181825866536e-12      -6.444237672432e-15 
  114       4.150563245576e-10       1.272700508580e-13      -4.241781689767e-12       5.576112484739e-16       7.630410738352e-12       1.160052541758e-12      -6.428293392953e-15 
  115       4.194442695904e-10       1.287566198695e-13      -4.322695008411e-12       5.677212044719e-16       7.452898643389e-12       1.138791387878e-12      -6.407910080017e-15 
  116       4.238475358002e-10       1.301975387113e-13      -4.402648780301e-12       5.779382273227e-16       7.280140273165e-12       1.117988783984e-12      -6.378640892406e-15 
  117       4.282654789311e-10       1.315913647181e-13      -4.481572279714e-12       5.882630289973e-16       7.112069548267e-12       1.097640468222e-12      -6.340041844261e-15 
  118       4.326975443180e-10       1.329367089119e-13      -4.559393024501e-12       5.986963332964e-16       6.948700157356e-12       1.077752982705e-12      -6.292750726978e-15 
  119       4.371430920747e-10       1.342322134251e-13      -4.636038281196e-12       6.092388745941e-16       6.790019281947e-12       1.058330139505e-12      -6.237466970558e-15 
  120       4.416013943630e-10       1.354765528642e-13      -4.711435093396e-12       6.198913978618e-16       6.635986783949e-12       1.039372932561e-12      -6.174953037843e-15 
  121       4.460716326619e-10       1.366684356729e-13      -4.785510310132e-12       6.306546586932e-16       6.486534393204e-12       1.020879449568e-12      -6.106035818751e-15 
  122       4.505528950372e-10       1.378066054954e-13      -4.858190614242e-12       6.415294233290e-16       6.341564895025e-12       1.002844783882e-12      -6.031608024516e-15 
  123       4.550441734107e-10       1.388898425397e-13      -4.929402550753e-12       6.525164686811e-16       6.200951317738e-12       9.852609464216e-13      -5.952629581920e-15 
  124       4.595443608293e-10       1.399169649412e-13      -4.999072555250e-12       6.636165823578e-16       6.064536120219e-12       9.681167775597e-13      -5.870129027534e-15 
  125       4.640522487345e-10       1.408868301257e-13      -5.067126982250e-12       6.748305626882e-16       5.932130379436e-12       9.513978590295e-13      -5.785204901947e-15 
  126       4.685665242320e-10       1.417983361729e-13      -5.133492133584e-12       6.861592187467e-16       5.803512977985e-12       9.350864258209e-13      -5.699027144010e-15 
  127       4.730857673603e-10       1.426504231797e-13      -5.198094286764e-12       6.976033703778e-16       5.678429791633e-12       9.191612780806e-13      -5.612838485068e-15 
  128       4.776084483607e-10       1.434420746235e-13      -5.260859723363e-12       7.091638482209e-16       5.556592876855e-12       9.035976930112e-13      -5.527955843198e-15 
  129       4.821330882377e-10       1.441723642780e-13      -5.321716087010e-12       7.208415085020e-16       5.437742360624e-12       8.883731000495e-13      -5.445516113629e-15 
  130       4.866587661559e-10       1.448405998842e-13      -5.380596565535e-12       7.326372791927e-16       5.321841511724e-12       8.734849974279e-13      -5.365679048745e-15 
  131       4.911846628040e-10       1.454461978899e-13      -5.437436223368e-12       7.445521189854e-16       5.208901633231e-12       8.589348437394e-13      -5.288339160807e-15 
  132       4.957099005459e-10       1.459886409831e-13      -5.492170750563e-12       7.565870031083e-16       5.098920918305e-12       8.447224244419e-13      -5.213373056744e-15 
  133       5.002335418583e-10       1.464674797807e-13      -5.544736500684e-12       7.687429234563e-16       4.991884086397e-12       8.308458049976e-13      -5.140639003385e-15 
  134       5.047545877689e-10       1.468823345184e-13      -5.595070528692e-12       7.810208887209e-16       4.887762019467e-12       8.173012840120e-13      -5.069976492687e-15 
  135       5.092719762939e-10       1.472328967394e-13      -5.643110628842e-12       7.934219245207e-16       4.786511398196e-12       8.040833463736e-13      -5.001205806961e-15 
  136       5.137845808755e-10       1.475189309842e-13      -5.688795372565e-12       8.059470735317e-16       4.688074338202e-12       7.911846163927e-13      -4.934127584104e-15 
  137       5.182912088203e-10       1.477402764794e-13      -5.732064146359e-12       8.185973956174e-16       4.592378026250e-12       7.785958109409e-13      -4.868522382825e-15 
  138       5.227905997366e-10       1.478968488274e-13      -5.772857189683e-12       8.313739679597e-16       4.499334356470e-12       7.663056925901e-13      -4.804150247875e-15 
  139       5.272814239721e-10       1.479886416955e-13      -5.811115632837e-12       8.442778851883e-16       4.408839566567e-12       7.543010227521e-13      -4.740750275275e-15 
  140       5.317622810521e-10       1.480157285052e-13      -5.846781534861e-12       8.573102595120e-16       4.320773874039e-12       7.425665148175e-13      -4.678040177546e-15 
  141       5.362316981169e-10       1.479782641214e-13      -5.879797921418e-12       8.704722208483e-16       4.235001112386e-12       7.310847872951e-13      -4.615715848935e-15 
  142       5.406881283596e-10       1.478764865417e-13      -5.910108822684e-12       8.837649169539e-16       4.151368367329e-12       7.198363169512e-13      -4.553450930647e-15 
  143       5.451299494641e-10       1.477107185860e-13      -5.937659311239e-12       8.971895135553e-16       4.069705613018e-12       7.087993919488e-13      -4.490896376070e-15 
  144       5.495555949613e-10       1.474813785789e-13      -5.962395883432e-12       9.107470770129e-16       3.989861361755e-12       6.979548063768e-13      -4.427752737721e-15 
